Word	uniqueID	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	WordNet Synonyms	Definition (from WordNet, Google, or Wikipedia)	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	Number of word meanings in list	Example image
anvil	anvil	n02725872	anvil%1:06:00::	anvil#1	anvil.n.01	anvil	a heavy block of iron or steel on which hot metals are shaped by hammering	0	0.96	8902	4.96	525	477	0.87	18887	74	32	Noun	tool		tool	tool, blacksmith tool	1	https://imgur.com/vhjJqxC
appetizer	appetizer	n07581346	appetizer%1:13:00::	appetizer#1	appetizer.n.01	appetizer, appetiser, starter	food or drink to stimulate the appetite (usually served before a meal or as the first course)	0	1	7604	4.71	1288	1797	0.88	9458		61	Noun	food	food	food	food	1	https://imgur.com/bFnDSAE
apple	apple	n07739125	apple%1:13:00::	apple#1	apple.n.01	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	0	1	1450.5	5	19463	12172	0.93	2711	2654	1207	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/XUIseZI
apple tree	apple_tree	n12633638	apple_tree%1:20:00::	apple_tree#1	apple_tree.n.01	apple_tree	any tree of the genus Malus especially those bearing firm rounded edible fruits	1	1	10624	4.84	416					0	#N/A	plant	plant	plant	fruit tree, plant	1	https://imgur.com/ye3dP8L
applesauce	applesauce	n07825850	applesauce%1:13:00::	applesauce#1	applesauce.n.01	applesauce, apple_sauce	puree of stewed apples usually sweetened and spiced	0	1	10305.5	4.96	462	308	0.89	22589		30	Noun	food	food	food	food	1	https://imgur.com/t2wlo2b
apron	apron	n02730930	apron%1:06:00::	apron#1	apron.n.01	apron	a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing	0	1	5373.5	4.87	2585	2289	0.88	8231	495	136	Noun		clothing	clothing	kitchen clothing	1	https://imgur.com/ufiJ30T
aquarium	aquarium	n02732072	aquarium%1:06:00::	aquarium#1	aquarium.n.01	aquarium, fish_tank, marine_museum	a tank or pool or bowl filled with water for keeping live fish and underwater animals	0	0.93	7630.5	4.77	2403	1428	0.91	10570		141	Noun		container	home decor, container	pet supply	1	https://imgur.com/f7Fm6Nd
arch	arch	n13886133	arch%1:25:00::	arch#1	arch.n.01	arch	a curved shape in the vertical plane that spans an opening	0	1	7415.5	4.59	2896	3454	0.89	6411	968	188	Noun				architectural element	1	https://imgur.com/V9dD1UP
arm	arm	n05563770	arm%1:08:00::	arm#1	arm.n.01	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	0	1	634	4.96	47857	84865	0.91	491	9194	3336	Noun	body part	body part	body part	body part	1	https://imgur.com/Kb7Iw3O
armor	armor	n02739668	armor%1:06:00::	armor#1	armor.n.01	armor, armour	protective covering made of metal and used in combat	0	1	5545.5	4.76	4360	3867	0.93	5858		372	Noun			clothing	protective clothing	1	https://imgur.com/fejhPOq
arrow	arrow	n02742753	arrow%1:06:00::	arrow#2	arrow.n.02	arrow	a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow	0	1	2782.5	4.97	4305	5208	0.92	4878	1040	400	Noun	weapon	weapon	weapon	weapon, archery ammunition, ammunition	1	https://imgur.com/HI9YPTc
artichoke	artichoke	n07718747	artichoke%1:13:00::	artichoke#2	artichoke.n.02	artichoke, globe_artichoke	a thistlelike flower head with edible fleshy leaves and heart	0	1	9611.5	4.63	692	1147	0.85	12403		28	Noun	vegetable	vegetable	plant, food, vegetable	vegetable	1	https://imgur.com/CIxOfaf
arugula	arugula	n11886537	arugula%1:20:00::	arugula#1	arugula.n.01	rocket, roquette, garden_rocket, rocket_salad, arugula, Eruca_sativa, Eruca_vesicaria_sativa	erect European annual often grown as a salad crop to be harvested when young and tender	0	0.86	16295.5	4.08	965	479	0.85	19031		6	Noun	vegetable	plant	plant, food, vegetable	vegetable	1	https://imgur.com/SIzaUji
ashtray	ashtray	n02747802	ashtray%1:06:00::	ashtray#1	ashtray.n.01	ashtray	a receptacle for the ash from smokers' cigars or cigarettes	0	1	6061.5	4.97	1079	1149	0.85	12371	232	166	Noun		container	container	smoking accessory	1	https://imgur.com/C0bAofu
asparagus	asparagus	n07719213	asparagus%1:13:00::	asparagus#2	asparagus.n.02	asparagus	edible young shoots of the asparagus plant	0	1	5045.5	4.96	2636	1800	0.87	9504		50	Noun	vegetable	vegetable	plant, food, vegetable	vegetable	1	https://imgur.com/MSMbD1O
avocado	avocado	n07764847	avocado%1:13:00::	avocado#1	avocado.n.01	avocado, alligator_pear, avocado_pear, aguacate	a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed	0	1	6218.5	4.89	1781	1500	0.86	10624		62	Noun	food, fruit	fruit	food, fruit	fruit, food	1	https://imgur.com/24LIuIp
awning	awning	n02763901	awning%1:06:00::	awning#1	awning.n.01	awning, sunshade, sunblind	a canopy made of canvas to shelter people or things from rain or sun	0	1	11439	4.61	625	667	0.88	16034	74	24	Noun				covering	1	https://imgur.com/AnvnBQ5
axe	axe	n02764044	ax%1:06:00::	ax#1	ax.n.01	ax, axe	an edge tool with a heavy bladed head mounted across a handle	0	1	5621.5	5	1547	1260	0.86	11689	791	249	Noun	tool	tool	weapon, tool	tool	1	https://imgur.com/aOZjiLh
baby	baby	n09827683	baby%1:18:00::	baby#1	baby.n.01	baby, babe, infant	a very young child (birth to 1 year) who has not yet begun to walk or talk	0	1	351.5	5	71258	67881	0.94	588	9070	25978	Noun				human	1	https://imgur.com/Yf3F0sH
backdrop	backdrop	n02768864	backdrop%1:06:00::	backdrop#1	backdrop.n.01	backdrop, background, backcloth	scenery hung at back of stage	0	1	8618	4.48	3709	2897	0.95	6797	436	24	Noun				photography equipment, photography	1	https://imgur.com/smiXV4J
backgammon	backgammon	n00502822	backgammon%1:04:00::	backgammon#1	backgammon.n.01	backgammon	a board game for two players; pieces move according to throws of the dice	0	0.97	17710.5	4.47	154	121	0.85	32358		37	Noun				board game, game	1	https://imgur.com/Ben1OzT
backpack	backpack	n02769748	backpack%1:06:00::	backpack#1	backpack.n.01	backpack, back_pack, knapsack, packsack, rucksack, haversack	a bag carried by a strap on your back or shoulder	0	1	3745.5	4.96	3800	3296	0.9	6547		186	Noun		container	container	hiking gear	1	https://imgur.com/4YJLN6j
backscratcher	backscratcher	n02770721	backscratcher%1:06:00::	backscratcher#2	backscratcher.n.02	backscratcher	a long-handled scratcher for scratching your back	0	0.96	19585	4.58	3					5	Noun	tool		tool	tool	1	https://imgur.com/2O5lC05
bacon	bacon	n07670433	bacon%1:13:00::	bacon#1	bacon.n.01	bacon	back and sides of a hog salted and dried or smoked; usually sliced thin and fried	0	1	4304	4.9	7263	3281	0.91	6501	1462	605	Noun	food		food	meat, food	1	https://imgur.com/JfDV4xi
badge	badge	n06882561	badge%1:10:00::	badge#1	badge.n.01	badge	an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)	0	1	4233.5	4.93	2925	2880	0.93	6913	555	778	Noun				award	1	https://imgur.com/Uugcapk
badger	badger	n02447366	badger%1:05:00::	badger#1	badger.n.01	badger	sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere	0	1	16455	4.37	643	252	0.82	25223	353	89	Noun	animal	animal	animal	animal	1	https://imgur.com/WWOwoFi
bag	bag	n02773037	bag%1:06:00::	bag#1	bag.n.01	bag	a flexible container with a single opening	0	1	1456	4.9	36144	40007	0.93	1009	5338	4796	Noun		container	container	accessory	1	https://imgur.com/U7e0Nti
bagel	bagel	n07693725	bagel%1:13:00::	bagel#1	bagel.n.01	bagel, beigel	(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust	0	1	5860	5	898	1154	0.87	12229		156	Noun	food	food	food	food, bread	1	https://imgur.com/6JIdcx4
bagpipe	bagpipe	n02775483	bagpipe%1:06:00::	bagpipe#1	bagpipe.n.01	bagpipe	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	0	1	10188.5	4.97	129	304	0.87	22852	24	15	Noun	musical instrument	musical instrument	musical instrument	musical instrument	1	https://imgur.com/cS7wCiz
baklava	baklava	n07627790	baklava%1:13:00::	baklava#1	baklava.n.01	baklava	rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey	0	0.89	19486	4.32	128	86	0.81	36561		15	Noun	food, dessert		food, dessert	dessert, food	1	https://imgur.com/fRcVYyY
balance beam	balance_beam	n02777292	balance_beam%1:06:00::	balance_beam#1	balance_beam.n.01	balance_beam, beam	a gymnastic apparatus used by women gymnasts	1	1	16694	4.66	89					0	#N/A		sports equipment	sports equipment	gymnastics equipment	1	https://imgur.com/O92y6uf
ball	ball	n02779435	ball%1:06:02::	ball#6	ball.n.06	ball	a spherical object used as a plaything	0	1	514.5	5	49050	43512	0.94	913	7573	5353	Noun	toy	toy	toy, sports equipment	toy	1	https://imgur.com/kdBeNbt
balloon	balloon	n02782329	balloon%1:06:01::	balloon#2	balloon.n.02	balloon	small thin inflatable rubber bag with narrow neck	0	1	3376	4.92	4544	5187	0.94	4819	651	442	Noun		toy	toy	party supply	1	https://imgur.com/FVdewDJ
ballot box	ballot_box	n02782681	ballot_box%1:06:00::	ballot_box#1	ballot_box.n.01	ballot_box	a box where voters deposit their ballots	1	1	12456.5	4.57	538					0	#N/A		container	container	voting equipment	1	https://imgur.com/PffCMR0
bamboo	bamboo	n12147226	bamboo%1:20:00::	bamboo#2	bamboo.n.02	bamboo	woody tropical grass having hollow woody stems; mature canes used for construction and furniture	0	1	5688.5	4.86	2653	2127	0.92	8400	290	80	Noun	plant	plant	plant	plant	1	https://imgur.com/ofk8aBF
banana	banana	n07753592	banana%1:13:00::	banana#2	banana.n.02	banana	elongated crescent-shaped yellow fruit with soft sweet flesh	0	1	2522.5	5	4462	5458	0.93	4721		547	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/foZFgge
banana peel	banana_peel	n07738570	banana_peel%1:13:00::	banana_peel#1	banana_peel.n.01	banana_peel, banana_skin	the skin of a banana (especially when it is stripped off and discarded)	1	1	15252	4.86	63					0	#N/A				fruit skin	1	https://imgur.com/b6J8dVT
banana split	banana_split	n07616748	banana_split%1:13:00::	banana_split#1	banana_split.n.01	banana_split	a banana split lengthwise and topped with scoops of ice cream and sauces and nuts and whipped cream	1	1	15774	4.88	38					0	#N/A	dessert	food, dessert	food, dessert	dessert	1	https://imgur.com/QdswoBG
bandage	bandage	n02785648	bandage%1:06:00::	bandage#1	bandage.n.01	bandage, patch	a piece of soft material that covers and protects an injured part of the body	0	1	6396	4.85	1032	1705	0.9	9635	253	146	Noun	medical equipment		medical equipment	medical equipment	1	https://imgur.com/whxMzeG
bandanna	bandanna	n02786198	bandanna%1:06:00::	bandanna#1	bandanna.n.01	bandanna, bandana	large and brightly colored handkerchief; often used as a neckerchief	0	0.93	8462	5	475	490	0.89	18434		21	Noun	clothing accessory		clothing, clothing accessory	clothing accessory	1	https://imgur.com/HJFOdJa
banjo	banjo	n02787622	banjo%1:06:00::	banjo#1	banjo.n.01	banjo	a stringed instrument of the guitar family that has long neck and circular body	0	1	8723.5	4.9	771	600	0.89	16842	45	83	Noun	musical instrument	musical instrument	musical instrument	musical instrument	1	https://imgur.com/vsjuaAQ
bank	bank	n04139859	bank%1:06:01::	bank#8	bank.n.08	savings_bank, coin_bank, money_box, bank	a container (usually with a slot in the top) for keeping money at home	0	1	2675	4.78	57671	58992	0.94	663	17932	4334	Noun		container	container	money storage container	1	https://imgur.com/d0iakqU
banner	banner	n02788021	banner%1:06:00::	banner#1	banner.n.01	banner, streamer	long strip of cloth or paper used for decoration or advertising	0	1	4915	4.8	3998	4292	0.96	5393	571	302	Noun		decoration		sign	1	https://imgur.com/Twxrwd3
barbed wire	barbed_wire	n02790823	barbed_wire%1:06:00::	barbed_wire#1	barbed_wire.n.01	barbed_wire, barbwire	strong wire with barbs at regular intervals used to prevent passage	1	1	17962	4.72	1210					0	#N/A				fencing	1	https://imgur.com/MEgRUp4
barbell	barbell	n02790996	barbell%1:06:00::	barbell#1	barbell.n.01	barbell	a bar to which heavy discs are attached at each end; used in weightlifting	0	1	11444.5	4.79	368	376	0.82	21428		18	Noun		sports equipment	sports equipment	exercise equipment	1	https://imgur.com/ax6avte
barcode	barcode	n06354774	bar_code%1:10:00::	bar_code#1	bar_code.n.01	bar_code, Universal_Product_Code	code consisting of a series of vertical bars of variable width that are scanned by a laser; printed on consumer product packages to identify the item for a computer that provides the price and registers inventory information	0	0.96	16163.5	4.74	76					0	#N/A				product identification	1	https://imgur.com/JCDuJuY
bark	bark	n13162297	bark%1:20:00::	bark#1	bark.n.01	bark	tough protective covering of the woody stems and roots of trees and other woody plants	0	1	8248.5	4.52	3513	2973	0.92	6832	596	280	Noun				part of tree	1	https://imgur.com/9O7GmTi
barnacle	barnacle	n01998183	barnacle%1:05:01::	barnacle#1	barnacle.n.01	barnacle, cirriped, cirripede	marine crustaceans with feathery food-catching appendages; free-swimming as larvae; as adults form a hard shell and live attached to submerged surfaces	0	0.96	11369.5	4.92	117	253	0.89	24436		32	Noun		animal	animal	sea life, sea creature	1	https://imgur.com/WoKRuW7
barrel	barrel	n13901211	barrel%1:25:00::	barrel#3	barrel.n.03	barrel, drum	a bulging cylindrical shape; hollow with flat ends	0	1	3073.5	4.86	8461	9951	0.94	3103	879	542	Noun	container		container	container	1	https://imgur.com/VLbLuE4
barrette	barrette	n02796318	barrette%1:06:00::	barrette#1	barrette.n.01	barrette	a pin for holding women's hair in place	0	0.93	18548	4.12	182	219	0.82	26605		8	Noun				hair accessory	1	https://imgur.com/FqqqjJs
baseball	baseball	n02799071	baseball%1:06:00::	baseball#2	baseball.n.02	baseball	a ball used in playing baseball	0	1	2148.5	4.86	35018	28551	0.92	1377	423	1288	Noun	sports equipment	sports equipment	sports equipment	sports equipment	1	https://imgur.com/6jEioHB
baseball bat	baseball_bat	n02799175	baseball_bat%1:06:00::	baseball_bat#1	baseball_bat.n.01	baseball_bat, lumber	an implement used in baseball by the batter	1	1	7197	5	726					0	#N/A	sports equipment	sports equipment	weapon, sports equipment	sports equipment	1	https://imgur.com/gQrE136
baseball glove	baseball_glove	n02800213	baseball_glove%1:06:00::	baseball_glove#1	baseball_glove.n.01	baseball_glove, glove, baseball_mitt, mitt	the handwear used by fielders in playing baseball	1	1	14219.5	4.89	92					0	#N/A	sports equipment	sports equipment	sports equipment	sports equipment	1	https://imgur.com/m6ZcH3Y
basil	basil	n12860365	basil%1:20:00::	basil#1	basil.n.01	basil	any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum	0	1	6211.5	4.76	5640	2725	0.86	7513	798	69	Name		plant	plant, food	herb	1	https://imgur.com/ET5hAyd
basket	basket	n02801938	basket%1:06:00::	basket#1	basket.n.01	basket, handbasket	a container that is usually woven and has handles	0	1	1757.5	5	8150	9316	0.94	3276	1351	672	Noun	container	container	container	container	1	https://imgur.com/gwylEKZ
basketball	basketball	n02802426	basketball%1:06:00::	basketball#2	basketball.n.02	basketball	an inflated ball used in playing basketball	0	1	1153.5	4.97	26032	20955	0.91	1809		1091	Noun	sports equipment	sports equipment	sports equipment	sports equipment	1	https://imgur.com/3bnC4zK
basketball hoop	basketball_hoop	n02802215	basket%1:06:01::	basket#3	basket.n.03	basket, basketball_hoop, hoop	horizontal circular metal hoop supporting a net through which players try to throw the basketball	1	1	13570	4.97	82					0	#N/A	sports equipment	sports equipment	sports equipment	sports equipment	1	https://imgur.com/ejw4yXC
bassinet	bassinet	n02804414	bassinet%1:06:00::	bassinet#1	bassinet.n.01	bassinet	a basket (usually hooded) used as a baby's bed	0	0.93	15088.5	4.71	177	145	0.85	30506		18	Noun		furniture	furniture	baby furniture, baby bed	1	https://imgur.com/DS3wW5E
bassoon	bassoon	n02804610	bassoon%1:06:00::	bassoon#1	bassoon.n.01	bassoon	a double-reed instrument; the tenor of the oboe family	0	0.89	16488	4.67	110	94	0.83	35247	89	16	Noun	musical instrument	musical instrument	musical instrument	musical instrument	1	https://imgur.com/mIB4u21
bat	bat1	n02139199	bat%1:05:00::	bat#1	bat.n.01	bat, chiropteran	nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate	0	1	2005	5	7119	7694	0.94	3720	1092	1052	Noun	animal	animal	animal	animal	2	https://imgur.com/mblCd1l
bat	bat2	n02806379	bat%1:06:00::	bat#5	bat.n.05	bat	a club used for hitting a ball in various games	0	1	2005	5	7119	7694	0.94	3720	1092	1052	Noun	sports equipment		weapon, sports equipment	sports equipment	2	https://imgur.com/OAognZp
bathmat	bathmat	n02807401	bath_mat%1:06:00::	bath_mat#1	bath_mat.n.01	bath_mat	a heavy towel or mat to stand on while drying yourself after a bath	0	1	17201	4.81	17					13	Noun				bathroom accessory, rug	1	https://imgur.com/r9kbp73
bathrobe	bathrobe	n02807616	bathrobe%1:06:00::	bathrobe#1	bathrobe.n.01	bathrobe	a loose-fitting robe of towelling; worn after a bath or swim	0	1	6527.5	5	1040	907	0.85	14013	41	85	Noun	clothing	clothing	clothing	clothing, bathroom clothing	1	https://imgur.com/XlRVsfl
bathtub	bathtub	n02808440	bathtub%1:06:00::	bathtub#1	bathtub.n.01	bathtub, bathing_tub, bath, tub	a relatively large open container that you fill with water and use to wash the body	0	1	5848	4.92	2082	1553	0.92	9987	27	311	Noun		container	container	bathroom fixture	1	https://imgur.com/68rEPVj
baton	baton1	n02809364	baton%1:06:00::	baton#1	baton.n.01	baton, wand	a thin tapered rod used by a conductor to lead an orchestra or choir	0	1	9864.5	4.64	2787	1012	0.93	12682	212	145	Noun				musical equipment	4	https://imgur.com/1noqsTN
baton	baton2	n04491388	baton%1:06:04::	baton#2	baton.n.02	truncheon, nightstick, baton, billy, billystick, billy_club	a short stout club used primarily by policemen	0	1	9864.5	4.64	2787	1012			212	145	Noun	weapon		weapon	weapon	4	https://imgur.com/dqt1qrN
baton	baton3	n02809605	baton%1:06:02::	baton#4	baton.n.04	baton	a hollow metal rod that is wielded or twirled by a drum major or drum majorette	0	1	9864.5	4.64	2787	1012	0.93	12682	212	145	Noun	sports equipment		sports equipment	sports equipment	4	https://imgur.com/Oy3K6YD
baton	baton4	n02809491	baton%1:06:01::	baton#5	baton.n.05	baton	a hollow cylinder passed from runner to runner in a relay race	0	1	9864.5	4.64	2787	1012	0.93	12682	212	145	Noun	sports equipment		sports equipment	sports equipment	4	https://imgur.com/fkiyZkX
batter	batter	n07860805	batter%1:13:00::	batter#2	batter.n.02	batter	a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking	0	1	9365.5	4.41	3649	2695	0.89	7419	156	203	Noun	food	food	food	food	1	https://imgur.com/ddoG6Sx
battery	battery	n02810471	battery%1:06:00::	battery#2	battery.n.02	battery, electric_battery	a device that produces electricity; may have several primary or secondary cells arranged in parallel or series	0	1	5082	4.67	9388	9793	0.92	3214		633	Noun				power source	1	https://imgur.com/ZEvr8Jn
bazooka	bazooka	n02813752	bazooka%1:06:00::	bazooka#1	bazooka.n.01	bazooka	a portable rocket launcher used by infantrymen as an antitank weapon	0	0.97	16392.5	4.66	146	104	0.87	33612		46	Noun	weapon		weapon	weapon	1	https://imgur.com/PklGPos
